Sampling mode ,Sample size ,Region ,Area (kmÂ²),Area (%),Train accuracy ,Test accuracy
Random,2000,Binga ,14794,0.187051,0.96,0.82
Random,2000,Hwange ,30607.3,0.386989,0.95,0.66
Random,2000,Mufunta ,6938.41,0.087727,0.96,0.73
Random,2000,Mulobesi ,3918.62,0.049546,0.98,0.94
Random,2000,Sichifulo ,3893.37,0.049227,0.94,0.78
Random,2000,Zambezi ,18939.1,0.23946,0.95,0.65
Uniform,2000,Binga ,14794,0.187051,0.93,0.75
Uniform,2000,Hwange ,30607.3,0.386989,0.96,0.75
Uniform,2000,Mufunta ,6938.41,0.087727,0.94,0.75
Uniform,2000,Mulobesi ,3918.62,0.049546,0.92,0.61
Uniform,2000,Sichifulo ,3893.37,0.049227,0.97,0.88
Uniform,2000,Zambezi ,18939.1,0.23946,0.96,0.71
Random,20000,Binga ,14794,0.187051,0.95,0.78
Random,20000,Hwange ,30607.3,0.386989,0.95,0.78
Random,20000,Mufunta ,6938.41,0.087727,0.96,0.81
Random,20000,Mulobesi ,3918.62,0.049546,0.97,0.82
Random,20000,Sichifulo ,3893.37,0.049227,0.96,0.85
Random,20000,Zambezi ,18939.1,0.23946,0.94,0.72
Uniform,20000,Binga ,14794,0.187051,0.96,0.74
Uniform,20000,Hwange ,30607.3,0.386989,0.96,0.8
Uniform,20000,Mufunta ,6938.41,0.087727,0.96,0.74
Uniform,20000,Mulobesi ,3918.62,0.049546,0.96,0.77
Uniform,20000,Sichifulo ,3893.37,0.049227,0.96,0.8
Uniform,20000,Zambezi ,18939.1,0.23946,0.95,0.71
Random,2000,All,79090.8,1,0.96,0.68
Uniform,2000,All,79090.8,1,0.95,0.7
Random,20000,All,79090.8,1,0.95,0.74
Uniform,20000,All,79090.8,1,0.96,0.74
